SSIC,UEN,firm_type,ownership_type,exp_total_rnd,no_sc_researchers,no_pr_researchers,no_fc_researchers,no_phd_researchers,no_masters_researchers,no_bachelors_researchers,no_nondegree_researchers,no_postgrad_researchers
S3,115,LLC,Public RI,4046.606,101,82,242,54,398,323,248,737
S3,116,LLC,IHL,4088.38,477,338,397,213,374,553,160,113
S3,117,MNC,Public RI,2376.481,862,57,697,179,851,208,475,369
S1,118,LLC,IHL,4459.509,412,155,278,495,130,708,523,240
S1,119,LLC,IHL,2469.086,237,163,176,539,701,310,262,170
S3,120,LLC,Gov,4032.498,594,80,139,318,372,6,355,112
S1,121,LLC,IHL,3659.576,452,215,190,399,691,153,156,423
S1,122,SME,Gov,3101.176,35,25,213,409,389,393,65,112
S3,123,LLC,IHL,2687.804,394,202,161,442,180,448,773,40
S3,124,MNC,Public RI,2767.263,341,852,99,74,571,360,341,488
S3,125,LLC,Gov,2735.398,8,781,177,569,101,249,40,713
S3,126,SME,Gov,3182.621,455,261,17,326,119,242,444,48
S3,127,SME,Gov,3469.38,474,481,964,139,176,266,401,437
S1,128,SME,IHL,3023.92,67,71,236,747,1044,110,316,207
S1,129,SME,IHL,2577.732,76,281,164,364,301,72,65,89
S1,130,SME,Private,3532.283,579,432,293,188,313,860,232,383
S2,131,LLC,Public RI,1962.788,242,173,294,74,856,276,739,959
S1,132,LLC,IHL,1772.792,116,152,222,310,233,97,248,324
S1,133,SME,Public RI,2765.525,118,257,198,124,440,451,115,468
S2,134,MNC,Public RI,3774.297,328,633,780,96,164,225,506,621
S2,135,LLC,Private,3259.266,295,259,489,255,203,306,256,25
S2,136,SME,Public RI,2592.101,587,28,191,36,273,408,3,187
S2,137,MNC,Public RI,2965.015,361,193,291,706,301,295,118,446
S1,138,SME,IHL,3060.391,159,356,277,248,494,352,346,688
S3,139,MNC,IHL,2151.273,316,186,543,39,239,168,305,172
S3,140,SME,Private,4724.298,514,201,153,224,608,92,252,307
S2,141,LLC,Public RI,5057.872,494,158,178,261,209,1153,173,576
S1,142,MNC,IHL,2519.191,464,963,467,283,253,509,659,602
S3,143,LLC,Private,2893.354,168,302,164,125,148,146,161,282
S3,144,SME,Private,3657.456,351,1266,418,115,231,718,395,83
S2,145,SME,Private,2596.256,228,324,50,626,360,107,509,377
S1,146,LLC,Private,2645.461,393,191,154,375,376,99,375,124
S3,147,MNC,Gov,3449.501,37,149,211,30,212,623,336,397
S2,148,SME,Gov,2084.333,454,432,449,185,90,52,315,23
S2,149,MNC,Public RI,3034.951,134,514,151,158,375,545,212,603
S1,150,SME,IHL,5155.181,313,192,269,68,231,698,499,82
S2,151,SME,Gov,2729.589,455,40,409,100,416,169,151,98
S3,152,LLC,Public RI,2188.146,98,128,729,253,721,72,388,213
S1,153,LLC,Public RI,2712.765,134,147,71,473,132,175,113,363
S3,154,LLC,Public RI,2251.852,253,708,153,128,73,518,550,96
S2,155,SME,Gov,2671.83,165,145,324,222,206,124,223,496
S1,156,LLC,IHL,3268.487,180,349,189,311,157,61,156,213
S3,157,MNC,Private,2127.795,616,124,378,260,109,383,162,305
S1,158,SME,Public RI,3298.132,26,398,250,89,289,527,545,660
S1,159,LLC,Public RI,2285.253,667,162,582,300,214,640,263,462
S1,160,MNC,Gov,4128.158,127,81,202,388,519,97,547,49
S3,161,LLC,Private,2519.684,584,296,441,335,300,106,510,122
S3,162,SME,Public RI,2848.474,57,126,197,206,53,118,436,917
S3,163,MNC,Private,6345.924,296,659,195,95,71,242,120,549
S1,164,MNC,IHL,1270.311,452,404,130,13,257,264,330,217
S3,165,LLC,Public RI,3466.832,230,114,173,189,149,148,47,225
S2,166,MNC,IHL,4023.403,195,166,189,88,1086,178,182,318
S1,167,MNC,IHL,2757.143,345,233,587,454,593,226,33,267
S1,168,SME,Gov,1689.193,840,247,350,115,185,255,528,192
S2,169,SME,Gov,2535.306,128,448,179,164,199,271,308,45
S2,170,SME,Private,1462.77,263,463,149,668,110,450,245,42
S1,171,LLC,Private,2724.769,38,299,610,230,690,218,121,508
S1,172,SME,IHL,3626.737,97,77,122,290,408,94,47,159
S1,173,SME,Gov,2666.638,33,413,616,140,107,139,102,254
S2,174,LLC,Private,2885.078,61,523,450,528,348,196,115,160
S2,175,SME,Public RI,1712.776,56,454,112,349,76,562,621,201
S2,176,LLC,IHL,2763.876,219,282,194,183,118,353,44,785
S3,177,LLC,IHL,2568.686,307,134,94,113,102,517,390,214
S3,178,SME,Private,1971.445,321,40,550,294,447,225,34,414
S1,179,SME,Public RI,4026.851,169,159,63,513,211,56,253,413
S3,180,MNC,Private,2219.956,109,7,540,242,128,381,171,73
S3,181,LLC,Private,2922.544,371,450,107,289,469,107,58,406
S2,182,MNC,Private,3373.636,677,331,254,813,225,311,95,127
S3,183,SME,IHL,2407.048,242,134,43,191,463,121,129,95
S2,184,MNC,Public RI,3559.927,258,33,173,493,570,161,297,257
S2,185,MNC,Private,3474.521,154,410,165,207,90,310,214,315
S1,186,LLC,Public RI,4238.306,108,655,357,202,454,68,844,313
S1,187,LLC,Private,2507.392,462,153,225,308,185,286,532,595
S2,188,LLC,Private,2875.068,415,323,136,482,361,169,830,228
S3,189,LLC,IHL,3783.248,290,173,333,191,417,219,168,214
S3,190,SME,Public RI,2171.579,80,503,441,110,225,289,145,186
S2,191,SME,Private,2896.059,69,254,20,637,246,295,134,42
S2,192,MNC,IHL,5103.796,458,147,150,80,183,142,215,81
S2,193,LLC,Public RI,3573.236,343,690,132,81,204,4,32,306
S3,194,MNC,Public RI,3138.923,203,270,444,98,171,637,86,399
S2,195,MNC,Public RI,3543.315,256,622,228,180,261,372,24,409
S2,196,MNC,Gov,3570.201,259,178,128,591,263,302,161,349
S1,197,SME,IHL,3444.43,60,454,132,415,720,129,102,447
S1,198,LLC,IHL,3412.711,264,140,343,71,131,233,90,175
S2,199,LLC,Private,4171.281,13,376,301,1075,467,92,300,317
S1,200,LLC,IHL,2460.317,166,877,96,194,496,416,226,282
S3,201,SME,IHL,1731.385,297,153,318,329,413,252,161,93
S2,202,MNC,Gov,4739.281,311,539,145,336,183,230,75,835
S1,203,MNC,Private,2597.116,134,105,138,212,89,289,69,104
S2,204,LLC,Public RI,1648.882,88,78,224,601,761,175,54,247
S1,205,MNC,Private,2707.737,280,186,330,106,433,240,81,400
S1,206,SME,Gov,3555.931,6,647,212,708,330,192,290,712
S1,207,SME,Public RI,2562.358,71,146,472,477,408,291,669,492
S2,208,MNC,IHL,3169.867,96,273,246,882,407,107,423,205
S2,209,MNC,Public RI,2851.041,424,397,132,374,320,220,512,7
S2,210,SME,IHL,3348.573,604,209,114,209,152,734,667,253
S1,211,MNC,IHL,2811.149,358,397,163,570,88,543,612,682
S1,212,SME,IHL,2438.308,175,382,33,552,502,583,196,487
S1,213,LLC,IHL,1626.995,13,643,84,564,287,388,151,486
S3,214,LLC,Gov,4228.016,124,32,157,633,76,316,124,215
S3,215,MNC,Gov,2282.311,370,212,143,271,242,108,578,104
S1,216,LLC,IHL,2631.284,802,243,392,188,221,203,367,245
S2,217,SME,IHL,2609.177,216,263,387,352,257,232,271,23
S3,218,SME,IHL,2490.685,250,202,215,191,1077,346,161,86
S2,219,SME,Private,2443.88,144,231,329,302,34,225,513,538
S2,220,SME,Gov,2289.277,186,103,288,385,305,136,343,317
S2,221,SME,Gov,3660.849,1795,152,76,396,493,342,184,200
S2,222,SME,Private,2642.375,137,139,285,167,211,144,52,370
S2,223,LLC,Private,1813.653,105,299,289,293,346,333,348,505
S3,224,SME,Gov,3828.316,95,901,571,345,164,269,353,232
S1,225,SME,IHL,3866.453,203,205,466,85,126,80,427,606
S3,226,SME,Public RI,2991.638,465,383,281,379,89,540,112,404
S1,227,MNC,Gov,3333.284,434,531,426,73,242,216,2,362
S3,228,MNC,Private,2538.125,135,123,211,984,798,429,316,119
S2,229,SME,Gov,2837.663,336,298,359,101,218,354,151,387
S1,230,LLC,Public RI,3833.865,371,591,621,94,87,236,221,175
S3,231,MNC,IHL,2039.027,382,435,389,415,94,149,419,346
S3,232,MNC,Private,3103.612,490,316,925,399,549,310,252,839
S3,233,SME,Private,5389.181,118,190,179,67,230,718,617,129
S2,234,LLC,Public RI,4800.414,77,342,364,177,716,435,370,313
S2,235,MNC,Gov,3916.246,270,207,123,204,492,314,388,48
S3,236,LLC,Public RI,3191.496,39,781,233,232,425,145,287,495
S3,237,MNC,IHL,2699.055,284,30,235,125,260,473,190,193
S3,238,SME,IHL,4141.522,164,138,301,486,341,469,82,561
S2,239,SME,Gov,4960.483,321,108,297,38,367,314,972,468
S2,240,LLC,Private,2179.145,167,971,260,413,123,418,421,240
S3,241,LLC,IHL,2488.324,423,96,254,213,170,896,321,249
S3,242,SME,IHL,2367.818,572,157,131,304,326,66,116,373
S1,243,SME,IHL,1424.445,83,882,379,138,549,148,220,146
S1,244,LLC,Private,3306.792,97,119,246,392,376,387,607,153
S2,245,LLC,Private,5449.082,73,224,214,107,104,225,123,142
S2,246,SME,Private,2153.099,1950,563,219,228,296,239,330,145
S2,247,SME,IHL,3084.331,231,188,190,132,214,95,229,305
S2,248,SME,Private,4128.793,166,97,256,188,143,255,474,507
S2,249,SME,Gov,3428.596,148,207,90,700,523,289,233,84
S1,250,MNC,Private,3603.573,331,288,114,270,446,203,564,309
S1,251,LLC,Gov,4773.905,821,251,240,205,219,928,208,140
S1,252,MNC,Public RI,4937.228,329,769,413,509,196,176,579,48
S2,253,SME,Public RI,3720.871,120,235,55,784,261,81,415,313
S2,254,MNC,Public RI,4349.627,177,82,327,137,130,174,126,67
S2,255,SME,IHL,3666.328,334,154,240,500,180,235,208,277
S2,256,SME,IHL,1909.701,309,314,313,266,130,548,256,335
S3,257,SME,Private,2289.319,495,783,353,399,145,293,132,364
S3,258,LLC,Private,2232.795,246,145,1116,377,231,142,56,254
S3,259,SME,Public RI,1376.408,177,66,1,131,248,444,28,268
S3,260,LLC,Gov,2995.579,459,135,341,275,790,163,171,547
S3,261,LLC,Gov,3143.789,184,400,262,15,340,450,281,152
S3,262,MNC,Public RI,3271.533,410,366,410,32,217,314,353,248
S3,263,SME,IHL,2651.22,433,399,215,363,45,671,366,98
S3,264,SME,Gov,3924.203,108,292,248,790,127,387,543,17
S2,265,SME,Gov,3473.789,67,525,120,50,94,77,525,59
S3,266,LLC,Public RI,5728.319,418,113,529,227,175,258,272,54
S3,267,SME,Gov,3078.059,264,351,157,150,113,207,221,122
S3,268,MNC,Gov,2887.547,480,39,327,50,590,351,451,61
S2,269,LLC,Gov,1726.727,318,531,187,294,173,419,229,127
S1,270,LLC,Public RI,1317.499,311,153,444,156,439,618,226,283
S3,271,MNC,Public RI,3393.93,219,342,303,273,374,99,704,132
S2,272,MNC,IHL,1810.51,244,110,681,129,44,38,635,710
S1,273,LLC,Gov,2887.019,366,132,446,853,278,81,473,264
S2,274,LLC,IHL,4155.375,134,417,386,390,362,169,167,281
S2,275,MNC,IHL,3157.258,128,377,340,478,239,226,131,96
S3,276,SME,Public RI,4085.199,356,335,288,264,71,215,604,648
S3,277,SME,Gov,4596.497,683,196,547,406,370,368,23,618
S3,278,MNC,Private,3454.47,12,229,346,618,218,509,185,9
S3,279,MNC,Gov,4244.104,367,313,716,72,314,443,452,516
S3,280,SME,Private,3059.078,278,651,727,828,609,446,413,369
S2,281,SME,Public RI,2432.936,744,146,615,337,117,96,463,115
S3,282,LLC,IHL,5049.21,158,303,143,182,647,391,198,163
S1,283,SME,Public RI,2423.527,486,410,152,288,155,297,190,188
S1,284,MNC,IHL,3130.337,617,178,289,329,214,556,411,217
S2,285,MNC,IHL,3482.978,384,177,423,496,64,400,85,67
S3,286,MNC,Gov,2114.043,313,171,560,763,60,44,228,432
S2,287,MNC,Public RI,1782.387,72,114,149,276,209,24,342,136
S3,288,SME,IHL,4370.765,200,15,80,302,974,250,65,93
S1,289,MNC,Private,4760.368,276,187,384,268,22,439,185,102
S2,290,MNC,IHL,3186.814,472,568,72,450,225,107,183,435
S1,291,SME,Public RI,3570.604,188,529,111,109,109,168,219,243
S3,292,SME,Public RI,2136.118,89,76,524,287,128,210,125,259
S2,293,LLC,Gov,3479.528,406,113,315,972,280,302,206,605
S1,294,MNC,Public RI,3128.405,589,603,434,649,484,433,558,165
S3,295,LLC,IHL,3288.771,479,272,497,335,185,246,115,105
S3,296,SME,Public RI,3742.856,67,311,530,253,47,241,576,154
S2,297,MNC,Public RI,1413.527,189,510,726,393,159,611,430,305
S2,298,LLC,Gov,2814.384,477,520,236,317,180,322,523,538
S1,299,MNC,Gov,3405.477,443,272,461,172,130,153,694,447
S2,300,LLC,Gov,3012.787,145,190,389,125,306,811,116,118
S1,301,SME,Public RI,4834.908,449,63,143,296,246,443,156,138
S2,302,MNC,Gov,2461.167,448,390,176,548,480,336,307,105
S2,303,SME,Public RI,3095.845,185,297,379,223,117,200,345,196
S2,304,MNC,Gov,2341.405,130,548,543,111,183,453,167,70
S3,305,MNC,IHL,2734.632,515,534,467,410,347,210,680,528
S2,306,SME,Gov,1868.88,368,125,35,151,184,401,156,420
S3,307,MNC,Private,2312.547,362,502,259,205,431,209,902,307
S3,308,LLC,IHL,4079.632,190,175,455,111,228,289,170,118
S3,309,MNC,Gov,3765.374,408,285,341,59,283,129,131,257
S1,310,SME,Gov,2964.839,102,1002,229,21,301,249,172,288
S2,311,LLC,Private,2003.183,409,337,72,251,979,125,462,260
S2,312,SME,IHL,2682.41,336,126,295,134,493,160,545,984
S1,313,SME,Public RI,2313.655,200,272,66,237,230,567,127,462
S1,314,LLC,Gov,4048.423,127,251,229,171,343,307,123,473
S2,315,MNC,IHL,3129.991,9,531,37,75,224,515,189,275
S2,316,LLC,Gov,2767.743,96,217,407,29,357,179,338,505
S1,317,MNC,Public RI,2874.207,400,293,353,222,812,842,70,134
S2,318,SME,Private,5013.804,238,575,168,176,449,317,325,165
S1,319,MNC,Private,1464.341,89,49,579,376,566,597,412,153
S1,320,SME,Public RI,3183.579,349,567,568,31,401,228,158,139
S2,321,LLC,Public RI,2173.938,1111,636,263,149,509,225,596,76
S1,322,SME,Private,2416.443,329,396,175,119,378,286,169,249
S3,323,SME,IHL,3192.732,648,355,702,255,139,790,511,508
S2,324,SME,Public RI,2493.015,649,301,190,169,122,175,136,300
S2,325,MNC,IHL,4726.395,318,193,425,537,241,93,189,162
S2,326,SME,Public RI,2587.79,870,461,83,377,132,274,46,64
S2,327,LLC,Private,2526.813,70,803,280,358,78,153,27,521
S3,328,SME,Private,2032.487,775,135,221,152,209,50,514,248
S3,329,SME,Public RI,3034.321,196,279,120,324,152,602,371,588
S3,330,SME,Private,2588.87,1283,131,196,145,273,31,136,188
S2,331,LLC,Private,3852.171,400,523,156,306,542,130,132,450
S2,332,MNC,IHL,3228.06,51,384,403,71,230,106,330,497
S1,333,LLC,Private,2843.815,406,512,166,364,285,605,141,98
S3,334,MNC,Public RI,3825.693,134,552,517,427,230,145,253,217
S2,335,LLC,Gov,2710.21,373,110,76,603,300,40,42,55
S1,336,LLC,Gov,2954.134,869,188,184,298,351,160,82,183
S2,337,LLC,Gov,4058.236,514,304,384,352,385,302,490,276
S2,338,LLC,Gov,2813.784,212,88,413,68,313,64,78,209
S2,339,MNC,Gov,2035.249,208,64,398,215,382,282,98,294
S3,340,SME,Public RI,1462.658,91,278,65,10,470,238,451,257
S3,341,MNC,Gov,2444.476,77,252,166,233,145,230,631,175
S1,342,SME,Gov,2956.184,614,201,91,162,240,476,451,667
S1,343,SME,Private,4518.135,51,471,178,643,105,158,145,568
S1,344,SME,IHL,5667.65,116,661,180,112,358,664,152,320
S3,345,MNC,Private,2551.638,180,566,418,610,147,114,172,288
S1,346,MNC,IHL,5971.38,781,121,75,1026,625,192,87,64
S1,347,MNC,Gov,3131.575,173,119,7,285,9,248,93,248
S1,348,MNC,IHL,2333.579,228,241,613,350,301,268,74,305
S1,349,MNC,Public RI,2493.851,662,122,457,1467,571,265,371,329
S3,350,SME,IHL,2386.584,61,71,380,5,447,271,493,598
S2,351,SME,Gov,2950.452,133,116,184,127,62,352,542,275
S2,352,LLC,IHL,2721.129,397,525,546,2,774,51,70,275
S3,353,LLC,IHL,4004.809,234,330,427,90,115,94,474,145
S3,354,LLC,Public RI,3711.472,342,683,222,431,185,312,105,277
S1,355,SME,Public RI,2114.425,219,1128,212,331,645,306,331,26
S1,356,MNC,Private,3698.329,116,165,86,329,121,150,357,342
S2,357,MNC,IHL,3490.369,922,280,463,314,355,206,406,178
S2,358,SME,IHL,3125.903,150,163,216,118,510,123,123,662
S3,359,SME,Private,2849.25,142,417,316,165,101,169,154,277
S3,360,MNC,IHL,2148.544,231,531,240,79,680,334,833,354
S3,361,MNC,Gov,2048.551,176,312,436,155,73,149,108,295
S2,362,SME,Public RI,2456.918,340,108,399,415,473,304,440,435
S2,363,MNC,IHL,3157.226,272,899,123,14,418,216,260,888
S1,364,SME,Private,4493.439,270,459,350,121,190,228,421,336
S1,365,LLC,IHL,1926.63,142,311,349,139,64,136,610,206
S1,366,LLC,IHL,2429.567,642,258,104,71,54,231,272,400
S3,367,LLC,Private,3293.37,114,105,388,46,74,364,77,531
S1,368,LLC,IHL,1635.632,104,96,94,35,589,36,91,350
S3,369,LLC,Gov,1127.587,200,185,166,857,273,609,204,107
S2,370,LLC,Private,4042.857,444,40,315,193,169,148,78,327
S1,371,LLC,Gov,2793.997,67,512,170,86,350,608,8,609
S3,372,MNC,Gov,1984.23,23,264,518,177,139,162,671,353
S1,373,MNC,Public RI,2874.138,163,160,79,295,118,130,313,207
S1,374,MNC,Public RI,2557.348,51,179,441,194,139,355,73,160
S1,375,LLC,IHL,7018.789,361,845,135,802,129,139,208,200
S1,376,LLC,IHL,4761.501,160,204,276,346,533,329,128,367
S1,377,SME,Gov,2072.347,574,347,244,532,181,180,376,886
S3,378,LLC,IHL,2860.662,345,235,290,469,87,615,281,124
S3,379,SME,Gov,4122.362,322,268,149,218,367,47,265,386
S3,380,LLC,Public RI,3113.309,316,117,177,445,54,513,424,252
S1,381,LLC,IHL,3350.75,402,25,489,199,282,216,32,346
S1,382,MNC,Public RI,1674.892,96,294,469,26,227,853,589,97
S3,383,SME,IHL,1898.784,993,147,149,114,210,245,401,587
S1,384,LLC,Public RI,1944.454,140,115,22,169,79,643,298,284
S1,385,MNC,Public RI,4891.035,355,226,122,311,103,187,96,299
S2,386,SME,Public RI,2286.116,186,265,93,262,118,458,306,331
S2,387,MNC,Private,3219.784,234,740,451,151,102,159,169,56
S1,388,LLC,Private,2631.094,259,333,328,265,604,134,95,98
S3,389,MNC,IHL,4683.323,406,62,276,50,1497,101,353,105
S2,390,LLC,IHL,1846.873,250,325,272,163,21,282,369,122
S1,391,MNC,IHL,3876.372,55,156,72,564,463,133,273,24
S2,392,MNC,Public RI,2930.316,204,556,319,207,34,268,327,79
S2,393,SME,IHL,2567.434,358,134,112,50,358,585,400,273
S1,394,MNC,Gov,4378.191,418,51,11,440,864,453,468,272
S1,395,LLC,Gov,1834.824,201,265,74,353,334,182,342,391
S1,396,LLC,IHL,2284.173,208,198,276,74,191,900,529,155
S3,397,LLC,IHL,2430.441,84,109,410,332,427,164,449,285
S1,398,SME,Gov,1996.066,85,396,65,429,848,479,49,180
S3,399,SME,Gov,3658.169,75,356,106,296,439,296,1080,169
S2,400,SME,Gov,2536.31,290,210,190,451,89,131,60,439
S2,401,MNC,Public RI,2842.182,508,312,452,163,117,127,267,235
S3,402,LLC,Public RI,2239.558,262,161,253,258,380,201,265,298
S1,403,SME,IHL,3651.959,231,211,97,590,217,345,73,239
S2,404,MNC,IHL,2403.311,149,160,353,103,322,400,295,453
S3,405,SME,Gov,2694.726,393,412,401,174,196,119,247,350
S1,406,SME,IHL,3335.693,377,62,320,333,935,116,257,1168
S3,407,SME,Private,3901.287,85,574,122,177,228,347,410,430
S2,408,SME,Gov,1819.952,176,133,350,419,136,215,205,190
